Date,Time,Timer,Temperature,Condition,Light,Car,CarDuration
2022-06-26,06-58-11.741,45.0,14.97,mist,Red,False,2
2022-06-26,06-58-18.254,8.0,14.97,mist,Green,False,0
2022-06-26,06-59-26.896,66.0,15.05,mist,Red,False,0
2022-06-26,06-59-35.205,7.0,15.05,mist,Green,False,1
2022-06-26,07-00-39.761,63.0,15.05,mist,Red,False,0
2022-06-26,07-00-44.565,5.0,15.05,mist,Green,False,1
2022-06-26,07-03-50.170,185.0,15.11,overcast clouds,Red,False,0
2022-06-26,07-03-56.778,6.0,15.11,overcast clouds,Green,False,1
2022-06-26,07-04-32.346,32.0,15.11,overcast clouds,Red,False,1
2022-06-26,07-04-38.242,8.0,15.11,overcast clouds,Green,False,2
2022-06-26,07-04-46.560,7.0,15.11,overcast clouds,Red,False,0
2022-06-26,07-04-54.889,7.0,15.1,overcast clouds,Green,False,1
2022-06-26,07-06-49.752,112.0,15.11,overcast clouds,Red,False,2
2022-06-26,07-06-54.428,5.0,15.11,overcast clouds,Green,False,0
2022-06-26,07-06-58.103,3.0,15.11,overcast clouds,Red,False,0
2022-06-26,07-07-06.443,7.0,15.11,overcast clouds,Green,False,1
2022-06-26,07-08-01.578,54.0,15.12,overcast clouds,Red,False,0
2022-06-26,07-08-09.780,7.0,15.12,overcast clouds,Green,False,0
2022-06-26,07-09-47.418,97.0,15.1,overcast clouds,Red,False,1
2022-06-26,07-09-57.522,8.0,15.1,overcast clouds,Green,True,3
2022-06-26,07-10-42.957,45.0,15.1,overcast clouds,Red,True,40
2022-06-26,07-10-49.439,6.0,15.1,overcast clouds,Green,True,7
2022-06-26,07-11-05.710,14.0,15.1,overcast clouds,Red,True,15
2022-06-26,07-11-09.810,5.0,15.1,overcast clouds,Green,True,6
2022-06-26,07-11-37.696,25.0,15.1,overcast clouds,Red,True,25
2022-06-26,07-11-42.491,6.0,15.1,overcast clouds,Green,True,7
2022-06-26,07-12-10.670,27.0,15.1,overcast clouds,Red,True,28
